high_watermark,row_count,head_position,timestamp
266769,260000,260000,2026-06-04 20:33:28
266830,260000,260000,2026-06-04 20:33:28
266900,260000,260000,2026-06-04 20:33:28
266969,260000,260000,2026-06-04 20:33:28
267039,260000,260000,2026-06-04 20:33:28
267101,260000,260000,2026-06-04 20:33:28
267172,260000,260000,2026-06-04 20:33:28
267236,260000,260000,2026-06-04 20:33:29
267306,260000,260000,2026-06-04 20:33:29
267376,260000,260000,2026-06-04 20:33:29
267440,260000,260000,2026-06-04 20:33:29
267511,260000,260000,2026-06-04 20:33:29
267574,260000,260000,2026-06-04 20:33:29
267645,260000,260000,2026-06-04 20:33:29
267713,260000,260000,2026-06-04 20:33:29
267776,260000,260000,2026-06-04 20:33:29
267846,260000,260000,2026-06-04 20:33:29
267915,260000,260000,2026-06-04 20:33:30
267978,260000,260000,2026-06-04 20:33:30
268049,260000,260000,2026-06-04 20:33:30
268111,260000,260000,2026-06-04 20:33:30
268180,260000,260000,2026-06-04 20:33:30
268250,260000,260000,2026-06-04 20:33:30
268321,260000,260000,2026-06-04 20:33:30
268384,260000,260000,2026-06-04 20:33:30
268454,260000,260000,2026-06-04 20:33:30
268517,260000,260000,2026-06-04 20:33:30
268587,260000,260000,2026-06-04 20:33:31
268658,260000,260000,2026-06-04 20:33:31
268721,260000,260000,2026-06-04 20:33:31
268789,260000,260000,2026-06-04 20:33:31
268860,260000,260000,2026-06-04 20:33:31
268922,260000,260000,2026-06-04 20:33:31
268994,260000,260000,2026-06-04 20:33:31
269064,260000,260000,2026-06-04 20:33:31
269126,260000,260000,2026-06-04 20:33:31
269198,260000,260000,2026-06-04 20:33:31
269266,260000,260000,2026-06-04 20:33:32
269326,260000,260000,2026-06-04 20:33:32
269397,260000,260000,2026-06-04 20:33:32
269467,260000,260000,2026-06-04 20:33:32
269530,260000,260000,2026-06-04 20:33:32
269601,260000,260000,2026-06-04 20:33:32
269671,260000,260000,2026-06-04 20:33:32
269736,260000,260000,2026-06-04 20:33:32
269807,260000,260000,2026-06-04 20:33:32
269869,260000,260000,2026-06-04 20:33:32
269936,260000,260000,2026-06-04 20:33:33
270007,260000,260000,2026-06-04 20:33:33
270069,260000,260000,2026-06-04 20:33:33
270137,260000,260000,2026-06-04 20:33:33
270207,260000,260000,2026-06-04 20:33:33
270277,260000,260000,2026-06-04 20:33:33
270340,260000,260000,2026-06-04 20:33:33
270410,260000,260000,2026-06-04 20:33:33
270479,260000,260000,2026-06-04 20:33:33
270546,260000,260000,2026-06-04 20:33:33
270606,260000,260000,2026-06-04 20:33:34
270681,260000,260000,2026-06-04 20:33:34
270751,260000,260000,2026-06-04 20:33:34
270813,260000,260000,2026-06-04 20:33:34
270884,260000,260000,2026-06-04 20:33:34
270947,260000,260000,2026-06-04 20:33:34
271018,260000,260000,2026-06-04 20:33:34
271087,260000,260000,2026-06-04 20:33:34
271154,260000,260000,2026-06-04 20:33:34
271224,260000,260000,2026-06-04 20:33:34
271288,260000,260000,2026-06-04 20:33:35
271359,260000,260000,2026-06-04 20:33:35
271422,260000,260000,2026-06-04 20:33:35
271492,260000,260000,2026-06-04 20:33:35
271562,260000,260000,2026-06-04 20:33:35
271623,260000,260000,2026-06-04 20:33:35
271694,260000,260000,2026-06-04 20:33:35
271764,260000,260000,2026-06-04 20:33:35
271834,260000,260000,2026-06-04 20:33:35
271896,260000,260000,2026-06-04 20:33:35
271965,260000,260000,2026-06-04 20:33:36
272029,260000,260000,2026-06-04 20:33:36
272098,260000,260000,2026-06-04 20:33:36
272167,260000,260000,2026-06-04 20:33:36
272237,260000,260000,2026-06-04 20:33:36
272300,260000,260000,2026-06-04 20:33:36
272371,270000,270000,2026-06-04 20:33:36
272440,270000,270000,2026-06-04 20:33:36
272508,270000,270000,2026-06-04 20:33:36
272577,270000,270000,2026-06-04 20:33:36
272639,270000,270000,2026-06-04 20:33:37
272709,270000,270000,2026-06-04 20:33:37
272773,270000,270000,2026-06-04 20:33:37
272845,270000,270000,2026-06-04 20:33:37
272914,270000,270000,2026-06-04 20:33:37
272975,270000,270000,2026-06-04 20:33:37
273047,270000,270000,2026-06-04 20:33:37
273111,270000,270000,2026-06-04 20:33:37
273181,270000,270000,2026-06-04 20:33:37
273251,270000,270000,2026-06-04 20:33:37
273312,270000,270000,2026-06-04 20:33:38
273384,270000,270000,2026-06-04 20:33:38
273454,270000,270000,2026-06-04 20:33:38
273518,270000,270000,2026-06-04 20:33:38
273587,270000,270000,2026-06-04 20:33:38
273658,270000,270000,2026-06-04 20:33:38
273720,270000,270000,2026-06-04 20:33:38
273792,270000,270000,2026-06-04 20:33:38
273854,270000,270000,2026-06-04 20:33:38
273925,270000,270000,2026-06-04 20:33:38
273989,270000,270000,2026-06-04 20:33:39
274061,270000,270000,2026-06-04 20:33:39
274125,270000,270000,2026-06-04 20:33:39
274197,270000,270000,2026-06-04 20:33:39
274260,270000,270000,2026-06-04 20:33:39
274330,270000,270000,2026-06-04 20:33:39
274400,270000,270000,2026-06-04 20:33:39
274464,270000,270000,2026-06-04 20:33:39
274533,270000,270000,2026-06-04 20:33:39
274604,270000,270000,2026-06-04 20:33:39
274667,270000,270000,2026-06-04 20:33:40
274738,270000,270000,2026-06-04 20:33:40
274800,270000,270000,2026-06-04 20:33:40
274869,270000,270000,2026-06-04 20:33:40
274939,270000,270000,2026-06-04 20:33:40
275002,270000,270000,2026-06-04 20:33:40
275075,270000,270000,2026-06-04 20:33:40
275143,270000,270000,2026-06-04 20:33:40
275207,270000,270000,2026-06-04 20:33:40
275276,270000,270000,2026-06-04 20:33:40
275340,270000,270000,2026-06-04 20:33:41
275412,270000,270000,2026-06-04 20:33:41
275481,270000,270000,2026-06-04 20:33:41
275544,270000,270000,2026-06-04 20:33:41
275615,270000,270000,2026-06-04 20:33:41
275678,270000,270000,2026-06-04 20:33:41
275749,270000,270000,2026-06-04 20:33:41
275813,270000,270000,2026-06-04 20:33:41
275884,270000,270000,2026-06-04 20:33:41
275954,270000,270000,2026-06-04 20:33:41
276018,270000,270000,2026-06-04 20:33:42
276086,270000,270000,2026-06-04 20:33:42
276155,270000,270000,2026-06-04 20:33:42
276218,270000,270000,2026-06-04 20:33:42
276288,270000,270000,2026-06-04 20:33:42
276360,270000,270000,2026-06-04 20:33:42
276423,270000,270000,2026-06-04 20:33:42
276493,270000,270000,2026-06-04 20:33:42
276562,270000,270000,2026-06-04 20:33:42
276623,270000,270000,2026-06-04 20:33:42
276695,270000,270000,2026-06-04 20:33:43
276758,270000,270000,2026-06-04 20:33:43
276827,270000,270000,2026-06-04 20:33:43
276897,270000,270000,2026-06-04 20:33:43
276967,270000,270000,2026-06-04 20:33:43
277029,270000,270000,2026-06-04 20:33:43
277100,270000,270000,2026-06-04 20:33:43
277170,270000,270000,2026-06-04 20:33:43
